,Player1,Player2,D,DD,DDD,DDL,DDV,DL,DLD,DLL,DLV,DV,DVD,DVL,DVV,L,LD,LDD,LDL,LDV,LL,LLD,LLL,LLV,LV,LVD,LVL,LVV,V,VD,VDD,VDL,VDV,VL,VLD,VLL,VLV,VV,VVD,VVL,VVV
103,1597,33274,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,
104,1597,36851,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,2.0,,,,
105,1730,24863,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1730,35049,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,
107,1759,5277,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,,,3.0,
108,1759,47847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
109,1813,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
110,1813,7945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
111,1921,30785,,,,,,1.0,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
112,1921,33181,,,,,,1.0,1.0,,2.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,,
113,1953,38687,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2073,32565,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2115,27236,,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,1.0,,1.0,,1.0,,,1.0,2.0,,,1.0,,4.0,,2.0,,2.0,,3.0,1.0,2.0,,1.0
116,2115,27271,,1.0,,,,,2.0,2.0,,,,,,,1.0,,1.0,,,2.0,1.0,,,1.0,1.0,,,2.0,3.0,4.0,,1.0,2.0,3.0,,,3.0,1.0,
117,2115,37711,,,,1.0,,1.0,1.0,,2.0,,,1.0,,1.0,,,,,,,,3.0,,,3.0,,,,1.0,2.0,3.0,1.0,1.0,,2.0,2.0,,2.0,2.0
118,2115,52525,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,1.0,,1.0,,,1.0,2.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0
119,2161,27826,,,,,,,,,1.0,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,
120,2199,2444,,,,1.0,,,,,2.0,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,1.0,2.0,1.0,,,1.0
121,2199,14123,,,1.0,,,,1.0,,,1.0,2.0,,,,,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,,,1.0,,,,2.0,,,,2.0,,2.0
122,2199,14412,,,,,,,,1.0,1.0,1.0,,,2.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,2.0,,1.0,1.0,1.0,,1.0,3.0
123,2199,30234,,,,,,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,2.0,1.0,,4.0
124,2202,973,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,
125,2202,21547,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
126,2202,25435,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
127,2209,43581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
128,2322,42157,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
129,2359,33593,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,
130,2444,376,1.0,,,,,,,1.0,2.0,,,3.0,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,1.0
131,2444,15386,,,,,,,2.0,1.0,1.0,,,,,,,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,2.0,,,1.0,
132,2444,37471,,,,1.0,,,,2.0,,,,1.0,,1.0,,,,1.0,,,3.0,2.0,,,4.0,1.0,,,,,,1.0,,,1.0,,,,
133,2444,40593,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,
134,2444,49041,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,1.0
135,2494,43359,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,
136,2534,8640,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,2534,19090,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2535,13149,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
139,2546,39134,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
140,2546,40298,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
141,2676,33562,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,
142,2676,42535,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
143,2699,11947,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,
144,2699,23953,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,
145,2699,41739,1.0,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,
146,2742,45506,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,
147,2774,27643,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,
148,2774,50130,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,
149,3138,26682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
150,3160,9035,,,,,,,,,,,,,,1.0,,,,,,,,5.0,,,,1.0,,,,,,,,,,,,,
151,3208,17438,,,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,
152,3208,22245,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,3208,38620,,,,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,
154,3208,47542,,1.0,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,
155,3208,51544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
156,3224,24891,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,
157,3244,36738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
158,3244,39224,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,3293,17853,1.0,,,,,,,1.0,3.0,1.0,,1.0,1.0,,,,,,1.0,,1.0,2.0,2.0,,1.0,2.0,,,,,,,,,,,,,
160,3528,12092,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,1.0,
161,3528,14686,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,4.0,
162,3528,16721,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,2.0
163,3528,22023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,1.0
164,3528,45960,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,
165,3528,51724,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,
166,3591,16427,,,,,,,,1.0,,,1.0,,,,,,1.0,,1.0,,,2.0,,,2.0,,1.0,,,,,,,,2.0,,,2.0,
167,3594,6042,,,,2.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,2.0,,,1.0,1.0,,2.0,
168,3598,15020,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,
169,3598,16983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,1.0
170,3598,17438,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,5.0,1.0,,3.0,
171,3598,25786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0
172,3598,31668,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,1.0,1.0,,,1.0,,,2.0,
173,3598,47542,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,1.0,,1.0,,,1.0,,
174,3598,52850,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,1.0,
175,3611,20190,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,
176,3637,36648,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,3637,40039,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
178,3688,15665,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
179,3688,31633,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,
180,3696,12000,,1.0,,1.0,,,1.0,,,,,,,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,3.0,1.0,,1.0,2.0,,
181,3696,14355,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,3.0,2.0,,2.0,2.0,,,,,,,1.0,2.0,2.0,1.0,1.0,,1.0
182,3696,15576,,,2.0,,1.0,,,,1.0,1.0,,,,,2.0,1.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,,,,,,1.0,1.0,3.0,,1.0,1.0,1.0
183,3696,51551,,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,2.0,,,1.0,1.0,1.0,,,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,1.0,,
184,3715,3757,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,
185,3715,4649,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
186,3754,5739,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
187,3757,3715,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,
188,3757,7772,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,
189,3757,16389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
190,3757,35542,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,
191,3757,45122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
192,3824,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
193,3824,41832,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,
194,3824,48663,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,
195,4005,32369,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,
196,4005,38896,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,
197,4014,2546,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
198,4020,33026,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,4.0,,,,,1.0,2.0,,,1.0,,,1.0,2.0
199,4020,39078,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,3.0,,1.0,2.0,1.0
200,4152,1214,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
201,4180,5192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0
202,4180,30244,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0
203,4180,42581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0
204,4294,5018,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
205,4467,15827,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,
206,4467,35113,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,1.0
207,4500,28491,1.0,,,,,,,,2.0,,,3.0,,,,,1.0,2.0,1.0,1.0,,,1.0,,2.0,,,1.0,,,1.0,,,1.0,,,,1.0,
208,4772,39573,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,4772,45700,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,4775,10770,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
211,4898,9179,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,5.0,
212,4898,18749,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,
213,4917,1953,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,4917,27643,1.0,,,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
215,4968,3824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
216,4968,6874,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
217,4968,25513,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,2.0,,,,,
218,4968,49025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
219,5018,21520,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,
220,5018,22144,,,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,
221,5018,47256,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,
